row_id,L,P,tipo,linhas_executaveis,linhas_executadas,linhas_nao_executadas,binary_tempo_ns,binary_memoria_kb,binary_iteracoes,interpolation_tempo_ns,interpolation_memoria_kb,interpolation_iteracoes,binary_interpolation_tempo_ns,binary_interpolation_memoria_kb,binary_interpolation_iteracoes,interpolation_once_binary_tempo_ns,interpolation_once_binary_memoria_kb,interpolation_once_binary_iteracoes
sim_001_L_1024_P_30_biased,1024,30,biased,1024,307,717,38.39,13344.0,8.074,58.284,13344.0,5.034,37.495,13344.0,2.418,29.542,13344.0,7.256
sim_001_L_1024_P_30_cluster,1024,30,cluster,1024,307,717,32.109,13356.0,8.213,49.045,13356.0,3.604,43.597,13356.0,2.586,52.441,13356.0,8.31
sim_001_L_1024_P_30_fault,1024,30,fault,1024,307,717,31.972,13476.0,8.07,42.476,13476.0,3.173,49.401,13476.0,3.006,36.863,13476.0,7.718
sim_001_L_1024_P_30_uniform,1024,30,uniform,1024,307,717,34.091,13728.0,8.069,39.606,13728.0,2.534,41.472,13728.0,2.36,48.35,13728.0,7.822
sim_001_L_1024_P_40_biased,1024,40,biased,1024,409,615,29.615,13356.0,8.376,53.815,13356.0,4.34,33.227,13356.0,2.64,28.973,13356.0,7.018
sim_001_L_1024_P_40_cluster,1024,40,cluster,1024,409,615,31.748,13612.0,8.453,50.625,13612.0,3.956,42.348,13612.0,2.814,45.124,13612.0,8.561
sim_001_L_1024_P_40_fault,1024,40,fault,1024,409,615,36.5,13356.0,8.374,42.517,13356.0,3.148,46.288,13356.0,2.928,35.295,13356.0,7.727
sim_001_L_1024_P_40_uniform,1024,40,uniform,1024,409,615,32.149,13476.0,8.345,31.25,13476.0,2.49,34.158,13476.0,2.431,38.606,13476.0,7.468
sim_001_L_1024_P_50_biased,1024,50,biased,1024,512,512,32.961,13612.0,8.514,58.481,13612.0,4.041,39.988,13612.0,2.917,42.085,13612.0,7.342
sim_001_L_1024_P_50_cluster,1024,50,cluster,1024,512,512,32.57,13612.0,8.511,70.193,13612.0,4.935,63.821,13612.0,3.838,43.52,13612.0,8.578
sim_001_L_1024_P_50_fault,1024,50,fault,1024,512,512,26.246,13608.0,8.523,44.34,13608.0,3.024,40.295,13608.0,2.784,33.0,13608.0,7.239
sim_001_L_1024_P_50_uniform,1024,50,uniform,1024,512,512,37.198,13612.0,8.511,29.784,13612.0,2.452,37.804,13612.0,2.326,44.736,13612.0,8.361
sim_001_L_1024_P_60_biased,1024,60,biased,1024,614,410,35.647,13484.0,8.729,48.792,13484.0,3.418,48.569,13484.0,3.173,49.991,13484.0,8.304
